,Condition,Freeze,KeepTrain,Performance
226,NoGrow,Freeze,0,0.4399000108242035
227,Normal,Freeze,0,0.5113000273704529
228,Grow,No Freeze,0,0.4684000015258789
229,NoGrow,No Freeze,0,0.48089998960495
230,Normal,No Freeze,0,0.5094000101089478
231,Grow,Freeze,0,0.4476999938488007
232,NoGrow,Freeze,0,0.4577000141143799
233,Normal,Freeze,0,0.5131999850273132
234,Grow,No Freeze,0,0.4803000092506409
235,NoGrow,No Freeze,0,0.4805000126361847
236,Normal,No Freeze,0,0.4932999908924103
237,Grow,Freeze,0,0.4562000036239624
238,NoGrow,Freeze,0,0.4609999954700471
239,Normal,Freeze,0,0.5052000284194946
240,Grow,No Freeze,0,0.4799000024795532
241,NoGrow,No Freeze,0,0.4932999908924103
242,Normal,No Freeze,0,0.4833999872207642
243,Grow,Freeze,0,0.4456999897956848
244,NoGrow,Freeze,0,0.44780001044273376
245,Normal,Freeze,0,0.4993999898433685
246,Grow,No Freeze,0,0.4749999940395355
247,NoGrow,No Freeze,0,0.489300012588501
248,Normal,No Freeze,0,0.4993000030517578
249,Grow,Freeze,0,0.4589999914169312
250,NoGrow,Freeze,0,0.4496999979019165
251,Normal,Freeze,0,0.5001999735832214
252,Grow,No Freeze,0,0.4893999993801117
253,NoGrow,No Freeze,0,0.4968000054359436
254,Normal,No Freeze,0,0.4984999895095825
255,Grow,Freeze,0,0.4374000132083893
256,NoGrow,Freeze,0,0.43299999833107
257,Normal,Freeze,0,0.5181000232696533
258,Grow,No Freeze,0,0.4783999919891357
259,NoGrow,No Freeze,0,0.48539999127388
260,Normal,No Freeze,0,0.5141999721527101
261,Grow,Freeze,0,0.4629000127315521
262,NoGrow,Freeze,0,0.4397000074386597
263,Normal,Freeze,0,0.5221999883651733
264,Grow,No Freeze,0,0.4720999896526337
265,NoGrow,No Freeze,0,0.478300005197525
266,Normal,No Freeze,0,0.5065000057220459
267,Grow,Freeze,0,0.4645000100135803
268,NoGrow,Freeze,0,0.461899995803833
269,Normal,Freeze,0,0.4799000024795532
270,Grow,No Freeze,0,0.4781000018119812
271,NoGrow,No Freeze,0,0.4785000085830689
272,Normal,No Freeze,0,0.4842000007629394
273,Grow,Freeze,0,0.448500007390976
274,NoGrow,Freeze,0,0.4505000114440918
275,Normal,Freeze,0,0.4977000057697296
276,Grow,No Freeze,0,0.478300005197525
277,NoGrow,No Freeze,0,0.4891000092029572
278,Normal,No Freeze,0,0.505299985408783
279,Grow,Freeze,0,0.4530999958515167
280,NoGrow,Freeze,0,0.4388000071048737
281,Normal,Freeze,0,0.5120999813079834
282,Grow,No Freeze,0,0.4731999933719635
283,NoGrow,No Freeze,0,0.4893999993801117
284,Normal,No Freeze,0,0.5081999897956848
285,Grow,Freeze,0,0.451200008392334
286,NoGrow,Freeze,0,0.448500007390976
287,Normal,Freeze,0,0.5037000179290771
288,Grow,No Freeze,0,0.4882999956607818
289,NoGrow,No Freeze,0,0.4821000099182129
290,Normal,No Freeze,0,0.5236999988555908
291,Grow,Freeze,0,0.446399986743927
292,NoGrow,Freeze,0,0.4205999970436096
293,Normal,Freeze,0,0.5085999965667725
294,Grow,No Freeze,0,0.481900006532669
295,NoGrow,No Freeze,0,0.4688999950885773
296,Normal,No Freeze,0,0.5041000247001648
297,Grow,Freeze,0,0.4345000088214874
298,NoGrow,Freeze,0,0.4487000107765198
299,Normal,Freeze,0,0.5116000175476074
300,Grow,No Freeze,0,0.486299991607666
301,NoGrow,No Freeze,0,0.4691999852657318
302,Normal,No Freeze,0,0.5149000287055969
303,Grow,Freeze,0,0.4393999874591827
304,NoGrow,Freeze,0,0.4551999866962433
305,Normal,Freeze,0,0.4968000054359436
306,Grow,No Freeze,0,0.4912000000476837
307,NoGrow,No Freeze,0,0.4841000139713288
308,Normal,No Freeze,0,0.5
309,Grow,Freeze,0,0.430400013923645
310,NoGrow,Freeze,0,0.44279998540878296
311,Normal,Freeze,0,0.4875999987125397
312,Grow,No Freeze,0,0.4697000086307526
313,NoGrow,No Freeze,0,0.5
